organization,address,zipcode,city,country,website,lat,lng
Laval University,Université Laval Ville de Québec,G1V 0A6 ,Québec,Canada,http://www2.ulaval.ca/accueil.html,46.7790474,-71.2733835
Herschel Island-Qikiqtaruk Territorial Park,Government of Yukon  Box 2703 (V-4),Y1A 2C6,"Whitehorse, Yukon",Canada,None,69.5794566,-139.0762055
Yukon Geological Survey,ELIJAH SMITH BUILDING 102 (Main Floor) & 230 (2nd Floor) 300 Main St,Y1A 2C6,"Whitehorse, Yukon ",Canada,http://www.geology.gov.yk.ca/,60.7194719,-135.0559742
Natural Resources Conservation Service,"USDA-NRCS, 1400 Independence Ave.",DC 20250,Washington,USA,http://www.nrcs.usda.gov,38.886778,-77.0300047
Asiaq,P.O. Box 1003   Qatserisut 8 ,3900,Nuuk ,Greenland  ,http://www.asiaq.gl/,64.1698411,-51.7336178
University of Innsbruck,"Innrain 52,",A-6020,Innsbruck,Austria,http://www.uibk.ac.at/,47.2633542,11.3838006
Oslo University,Boks 1072 Blindern,NO-0316,Oslo,Norway,http://www.uio.no/english/,59.9399586,10.7217496
Technical University of Denmark,Anker Engelunds Vej 1 Building 101A,2800 Kgs.,Lyngby,Denmark,http://www.dtu.dk/english,55.7855742,12.521381
"Carleton University, Dept of Geography and Environmental Studies","1125 Colonel By Drive,",ON  K1S 5B6 ,Ottawa,Canada,http://www.carleton.ca/,45.3875812,-75.6960202
Swiss Federal Institute of Snow and Avalanche Research,Fluelastrasse 11,CH-7260,Davos Dorf,Switzerland,http://www.slf.ch/english_EN,46.8120604,9.8472106
Institute of Environmental Geoscience RAS,"Ulanskiy per., 13, build.2, p.o.box 145",101000,Moscow,Russia,http://www.geoenv.ru,55.7107897,37.5778246
University of Alcalá de Henares,"Pza San Diego, s / n -",28801,Alcalá de Henares (Madrid),Spain,http://www.uah.es/,40.4824722,-3.3628674
U.S. Army - Cold Regions Research and Engineering Laboratory,"72 Lyme Road, New Hampshire",03755-1290,Hanover,USA,http://www.crrel.usace.army.mil/,43.7235544,-72.2715166
Austral Center for Scientific Research ,Austral Center for Scientific Research - Bernardo Houssay 200,9410,Ushuaia - Tierra del Fuego,Argentina,http://www.cadic-conicet.gob.ar,-54.8019121,-68.3029511
Danish Meteorological Institute,Lyngbyvej 100, DK-2100,Copenhagen,Denmark,http://www.dmi.dk/en/vejr/,55.7154261,12.5609596
